time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.349635050758229e-07,-3.273585026414523e-08,10.005056614281434,6.283143350990413,0.00047736314712221173,0.0,-5.182665198222034e-05,-3.401500838647995e-06,0.16854317111578174,-0.002135953711561155,0.020400459475639607,0.0,457.6057708362331,459.22646095967957,457.9324435823405,457.7625522135665
0.12000000000000001,-1.6272943522015498e-05,-1.4786937018455314e-06,10.015412793142715,6.282882769637261,0.0014405324578534717,0.0,-0.0005677484506342963,-6.161516780140228e-05,0.17666139472551937,-0.00916965435187342,0.0055104502663679365,0.0,406.957457963915,405.6226434888285,407.50400760661273,406.8749665239974
0.18,-8.099268602450589e-05,-1.3310205466021363e-05,10.028650248428017,6.282418669726415,0.0019553794834479277,0.0,-0.001632534779439105,-0.0003834433064940827,0.26457010033279327,-0.005009829827567484,0.014105866018755638,0.0,433.3975922999581,434.1191937984209,432.2475780107142,432.5980474381304
0.23999999999999996,-0.0002233399553977172,-5.361623977035107e-05,10.047921850333783,6.282135985690484,0.002673337912141527,0.0,-0.00319402917833675,-0.0009903793777297242,0.3777851164528817,-0.004121094872593389,0.007300285427589039,0.0,442.0460263923904,441.48483322589186,440.5253425780742,440.59889841315714
0.3,-0.0004697961574810387,-0.00013416914579498447,10.072815116427769,6.282425161567424,0.003166519685077418,0.0,-0.005066879270291311,-0.0016884629252011476,0.4519633498069987,0.018454561842866736,0.009997904862041329,0.0,428.01052187652186,428.23989599818754,428.5037822208499,430.41829905590316
0.36000000000000004,-0.0008413268339225925,-0.0002469013912484977,10.102894793986982,0.0003748394079874373,0.003657378515590004,0.0,-0.007373142787718721,-0.001955093147613346,0.5506494831953876,0.01982441890482861,0.004274036698464894,0.0,437.60620822938586,437.12944919090876,436.00449259811836,436.1188651367789
0.4200000000000001,-0.00137548818834213,-0.0003490109372359878,10.14298743495238,0.0010304289575806536,0.004101164038742056,0.0,-0.010475235123456675,-0.001319760258386165,0.7856396013969137,-0.020259003599042882,0.01300600328889182,0.0,477.9804261350251,478.6452156810903,479.5434666575273,476.4893871834717
0.48000000000000015,-0.002100973216571032,-0.0004092153282478378,10.195180843565895,0.0003235563406249753,0.0052998984916996505,0.0,-0.013821103216441158,-0.0007905922422426573,0.9540145710860697,0.0013005903247669927,0.031173361387999463,0.0,458.24603248097264,459.68769146330186,457.6396104825022,459.3523421297289
0.5400000000000001,-0.003064473332081481,-0.00044824778601762564,10.258507538526949,0.0007065096870748633,0.007326320985582946,0.0,-0.018523414255851186,-0.0004817155702053525,1.1566907861072793,0.014986108666779002,0.03852323189552352,0.0,468.65122145313154,469.2224778380607,469.09234596878645,470.1536574233212
0.6000000000000002,-0.004326198026106872,-0.0004603198191858927,10.329626513606605,0.0013585042098016586,0.009207197405878276,0.0,-0.023740447214358917,0.00015501697938789832,1.2138806618937759,0.000996659885030833,0.010418039766752485,0.0,425.0862940619625,422.67164813894,425.64995140713836,424.4510841186646
0.6600000000000003,-0.0059384097983406865,-0.0004234700430039498,10.404915732876884,0.0010338330400463391,0.010079226627436988,0.0,-0.030074522567372183,0.0010648196727152583,1.2956697830806856,-0.02304333067111405,0.021703722522902272,0.0,431.50557064577066,432.4570413409961,434.1837537755521,432.1624344441383
0.7200000000000003,-0.0079432801295987,-0.00034383544789418427,10.48437843314524,0.00021510974851501885,0.011731059079372663,0.0,-0.03689707369495886,0.001488720605980996,1.3530189664898309,0.0005220482112539056,0.03718530231724293,0.0,424.6044404510872,425.9306222726468,423.43704633811143,425.4593069770565
0.7800000000000004,-0.010451386504818245,-0.0002492398426784473,10.572126546857268,0.00013564138787902635,0.014024226896014014,0.0,-0.0469736915857303,0.0016618674918054282,1.571640041313186,-0.005300340134198849,0.040211005122063166,0.0,475.9392753778771,476.1713739233834,473.84877919976185,473.40104949338644
0.8400000000000004,-0.01360339296565792,-0.00014731746129148125,10.671801172460377,6.282471833539862,0.01663171132965946,0.0,-0.05837561471051762,0.0016840994364028816,1.7505862158815317,-0.04496186264762997,0.04926703019488715,0.0,463.3165496327172,464.0289025872179,465.2389085547175,462.1233171921047
0.9000000000000005,-0.01742172390251484,-6.823618182178774e-05,10.77753669494751,6.280089212939199,0.019937586474849667,0.0,-0.06918713900487068,0.0007232325717942343,1.7738893915725398,-0.030865699162322367,0.0647562867472879,0.0,414.5738906968665,415.9347698807206,414.0749769759451,415.3121263630321
0.9600000000000005,-0.022034572945845737,-0.00010172638592899339,10.888651728481706,6.278151359383379,0.023868996160961053,0.0,-0.08500031035270787,-0.002047395893032493,1.92968449772155,-0.03532652768007775,0.06701467123139704,0.0,457.1089037488323,457.2918667094321,457.65195554958865,457.2964234705911
1.0200000000000005,-0.027653311107330776,-0.00033875248387027187,11.007845547515254,6.275566112126896,0.027759416205713983,0.0,-0.10269799833816323,-0.006088324087410931,2.0432338942503434,-0.06692113844662154,0.06009486290298409,0.0,445.6902264902772,445.1274101390725,445.6132756213816,443.0218717372837
1.0800000000000005,-0.03449152784767559,-0.0009029560777387486,11.136555054683143,6.271291939704959,0.03157603954352428,0.0,-0.12566816600819633,-0.013199176025466264,2.2466873511481977,-0.08167495369640192,0.0698460233614448,0.0,472.7508206565061,473.50419183087024,472.64001301171595,471.4979500569728
